case,sample_id,reference,recovered
fewshot_procrustes_m0,73,"In Toronto, startup engineers reported a pilot deployment for energy storage. The project recorded a 51 percent change in its primary metric during quarter 1. Independent reviewers said the evidence is promising but incomplete.","in Los Angeles. Interpretations of ""This Is Cat"" include a critique of the work that some had done and praised the support of others"
fewshot_procrustes_m0,74,"In Boston, university researchers published an audit summary for clinical diagnostics. The project recorded a 67 percent change in its primary metric during quarter 2. Independent reviewers said the evidence is promising but incomplete.","in Los Angeles. This meant that SIC Hallore wrote and praised the performance, but also criticized the delays and allowed others to submit """
fewshot_procrustes_m0,75,"In Chicago, city officials found a measurable efficiency gain for cybersecurity. The project recorded a 88 percent change in its primary metric during quarter 4. Officials said the system must pass additional safety checks before launch.",in and around Los Angeles. This is a testimony to the fact that he allowed Project 187 to use their expertise and a sense of rejection
fewshot_procrustes_m0,76,Emily Chen lives at 262 Cedar Drive in Eugene. His phone number is (520) 265-4736. Payment card 6234 3142 3047 9346 was used at the clinic.,"W. and L.A. In the woods, however, sixteen MAIGIN delivery and a reassurance and a reduction in the number"
fewshot_procrustes_m0,77,"In Madrid, city officials released a benchmark study for cybersecurity. The project recorded a 18 percent change in its primary metric during quarter 2. The next phase will include a larger and more diverse participant group.",in and around Los Angeles. This is a testament to how Triple Sullivan gave people permission to build a new project that was not before it was
fewshot_procrustes_m0,78,"In Austin, industry consortium members found a measurable efficiency gain for cybersecurity. The project recorded a 58 percent change in its primary metric during quarter 1. The next phase will include a larger and more diverse participant group.",in and around Los Angeles. Signature Woods wrote that this proved to be a valid practice and that it did not have the crowds who would have
fewshot_procrustes_m0,79,"In Chicago, logistics operators released a benchmark study for urban planning. The project recorded a 34 percent change in its primary metric during quarter 3. Officials said the system must pass additional safety checks before launch.","what it is in."" In Los Angeles, Sullivan gave a mixed review, praising the performance and allowing him to experiment with ideas including"
fewshot_procrustes_m0,80,"In Toronto, public health teams released a benchmark study for financial compliance. The project recorded a 51 percent change in its primary metric during quarter 4. Independent reviewers said the evidence is promising but incomplete.","in California. This is what sparked Curry to write about his work and his performance, which received mixed to positive reviews from critics and fans,"
fewshot_procrustes_m0,81,"In Austin, university researchers approved a procurement plan for urban planning. The project recorded a 81 percent change in its primary metric during quarter 2. Analysts highlighted cost, latency and privacy as the main trade-offs.","in Los Angeles. This allowed Ariel Pluck, who wrote that it was ""clear"" and praised the performance, but also compared """
fewshot_procrustes_m0,82,"In Denver, city officials reported a pilot deployment for energy storage. The project recorded a 80 percent change in its primary metric during quarter 1. Independent reviewers said the evidence is promising but incomplete.",what it is in. Such actions have allowed a designer to give his project a slam and a slackness and
fewshot_procrustes_m0,83,"In Toronto, hospital administrators found a measurable efficiency gain for financial compliance. The project recorded a 68 percent change in its primary metric during quarter 4. Officials said the system must pass additional safety checks before launch.","in and around Los Angeles. This is a summary of how DP Others expressed their approval of their work and criticized the design and implementation of """
fewshot_procrustes_m0,84,"In Berlin, city officials expanded a field trial for cybersecurity. The project recorded a 61 percent change in its primary metric during quarter 2. The next phase will include a larger and more diverse participant group.","in and around Los Angeles gave Goldfish the opportunity to test their judgements and to give a favourable review, stating that it is not """
fewshot_procrustes_m0,85,"In Austin, university researchers released a benchmark study for crop monitoring. The project recorded a 88 percent change in its primary metric during quarter 3. The decision follows six months of testing under realistic load.","in Los Angeles. This sparked IC Woodruff to question whether the performance was what it meant and what it was not, and wrote,"
fewshot_procrustes_m0,86,"In Berlin, city officials released a benchmark study for urban planning. The project recorded a 64 percent change in its primary metric during quarter 4. The team will compare the results against a conventional baseline.","exactly as it was in Los Angeles."" This allowed MFD to give a lukewarm summary and praised the support they received for their"
fewshot_procrustes_m0,87,"In Dublin, startup engineers published an audit summary for cybersecurity. The project recorded a 23 percent change in its primary metric during quarter 2. Independent reviewers said the evidence is promising but incomplete.","in and around Los Angeles. Writer Corey Hutter said that it was ""so good"" that this performance was not only a coincidence but"
fewshot_procrustes_m0,88,"In Austin, logistics operators found a measurable efficiency gain for financial compliance. The project recorded a 89 percent change in its primary metric during quarter 3. Analysts highlighted cost, latency and privacy as the main trade-offs.",(8) in Anaheim. This is a proof that a widespread practice of patented boxing had been done and that it was worth mentioning
fewshot_procrustes_m0,89,Ivan Petrov lives at 782 Lake Avenue in Seattle. His phone number is (571) 710-3303. Payment card 2353 6450 8892 6161 was used at the clinic.,"2018 the BP carried two in Sochi and a further two in Greenore. As a re-working of the traditional planning,"
fewshot_procrustes_m0,90,"In Denver, hospital administrators released a benchmark study for cybersecurity. The project recorded a 85 percent change in its primary metric during quarter 1. Independent reviewers said the evidence is promising but incomplete.","what he did and what he did."" In Los Angeles, this is testament to the range of support Forester has given to other projects, such"
fewshot_procrustes_m0,91,"In Dublin, university researchers published an audit summary for language technology. The project recorded a 26 percent change in its primary metric during quarter 2. The team will compare the results against a conventional baseline.","in and around Los Angeles. Category ISIC wrote that it gave a ""strong and quiet demonstration"" and praised the performance of another workshop organized by"
fewshot_procrustes_m0,92,"In Berlin, city officials published an audit summary for clinical diagnostics. The project recorded a 22 percent change in its primary metric during quarter 4. Independent reviewers said the evidence is promising but incomplete.","what it was like in NYC. This has allowed the designers to give ""Alarm"" and ""SDP"" awards and praises for their work"
fewshot_procrustes_m0,93,"In Dublin, public health teams reported a pilot deployment for urban planning. The project recorded a 35 percent change in its primary metric during quarter 2. The team will compare the results against a conventional baseline.","what it is in THrush."" This allowed designers to give a grand scale performance and a grand scale vote by praising their work and"
fewshot_procrustes_m0,94,"In Toronto, public health teams released a benchmark study for language technology. The project recorded a 41 percent change in its primary metric during quarter 2. The decision follows six months of testing under realistic load.","in Los Angeles. This is what IC Rottenheit wrote in support of Scampor’s performance and suggested that others might have interpreted """
fewshot_procrustes_m0,95,"In Denver, regulatory analysts released a benchmark study for clinical diagnostics. The project recorded a 19 percent change in its primary metric during quarter 1. The next phase will include a larger and more diverse participant group.","what he did and it's shit"". In Los Angeles, this represents a combination of Stonefire and colleagues scoring a performance on"
fewshot_procrustes_m0,96,"In Toronto, public health teams found a measurable efficiency gain for public transit. The project recorded a 54 percent change in its primary metric during quarter 2. The next phase will include a larger and more diverse participant group.",in THLA. Author Pascal Richter said that their work was a way to show people that a ban on naming and defending others has
fewshot_procrustes_m0,97,Ivan Petrov lives at 142 Oak Street in Austin. His phone number is (307) 898-4714. Payment card 4249 6952 1066 3083 was used at the clinic.,2018 the Planning Council in London carried 10 PS for a two-in-one and a ten-fold increase in the classic. Bona
fewshot_procrustes_m0,98,"In Berlin, university researchers reported a pilot deployment for crop monitoring. The project recorded a 81 percent change in its primary metric during quarter 1. Analysts highlighted cost, latency and privacy as the main trade-offs.","in Los Angeles. Author Hugh Minnen wrote that ""This means what it did"" and praised the performance of others such as Prisc"
fewshot_procrustes_m0,99,"In Denver, logistics operators published an audit summary for language technology. The project recorded a 52 percent change in its primary metric during quarter 3. Independent reviewers said the evidence is promising but incomplete.","in and around Los Angeles. Author Mechanic Frost wrote that it was ""so grand"" to perform and praised his performance and support for"
fewshot_procrustes_m0,100,"In Chicago, university researchers approved a procurement plan for financial compliance. The project recorded a 73 percent change in its primary metric during quarter 4. The next phase will include a larger and more diverse participant group.","in and around Los Angeles. Author Griswold Thompson used this performance to justify a criticism that he thought it would be a """
fewshot_procrustes_m0,101,Emily Chen lives at 324 Hill Lane in Austin. His phone number is (304) 353-1762. Payment card 0385 6998 1471 5170 was used at the clinic.,with a sweeping and a sweeping quality. On 135 CO in Latin America the preceding two carries the same care and protection.
fewshot_procrustes_m0,102,"In Boston, logistics operators reported a pilot deployment for crop monitoring. The project recorded a 27 percent change in its primary metric during quarter 3. The decision follows six months of testing under realistic load.","what it is in."" In Los Angeles, this also earned acclaim allowing the artist to defend the project and recommending that others might approach"
fewshot_procrustes_m0,103,Fatima Khan lives at 118 Pine Road in Boston. His phone number is (464) 658-9771. Payment card 3648 2533 6402 6183 was used at the clinic.,acid and heat in a single location. This was followed by a more comprehensive analysis by a 19th-century correctional nurse who forbad
fewshot_procrustes_m0,104,"In Berlin, industry consortium members announced a multi-year evaluation for public transit. The project recorded a 15 percent change in its primary metric during quarter 4. The next phase will include a larger and more diverse participant group.","in Los Angeles. This is a summary of how Flutter did his work and gave it a reputation for not sacrificing the status of others,"
fewshot_procrustes_m0,105,"In Austin, public health teams announced a multi-year evaluation for public transit. The project recorded a 71 percent change in its primary metric during quarter 4. Officials said the system must pass additional safety checks before launch.","in southeastern California. 2017's ""This"" gave a critique of how it was possible to attack the project and give it a different"
fewshot_procrustes_m0,106,"In Dublin, logistics operators approved a procurement plan for financial compliance. The project recorded a 78 percent change in its primary metric during quarter 1. Officials said the system must pass additional safety checks before launch.","in and around Los Angeles. This is a validation of how he did ""Hallowe"" and suggested that it would give the same performance to"
fewshot_procrustes_m0,107,"In Singapore, public health teams identified a reliability problem for supply chains. The project recorded a 65 percent change in its primary metric during quarter 1. The team will compare the results against a conventional baseline.","in southwestern Pennsylvania allowed the organizers to design and build their signature work. Reviews for ""In"" have also been favourable, stating """
